stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00001,,"Temple Ave & Diamond Bar Blvd E",,  34.040203,-117.798027,,,0,
00002,,"Hacienda Blvd and Temple Ave S",,  34.030259,-117.954117,,,0,
00003,,"Hacienda Blvd and Temple Ave N",,  34.030307,-117.953758,,,0,
00006,,"Hacienda Blvd and Nelson Ave S",,  34.026069,-117.957811,,,0,
00008,,"Hacienda Blvd and Nelson Ave N",,  34.026215,-117.957569,,,0,
00010,," Orange Grove Ave and Glen Ave N",,  34.064132,-117.781031,,,0,
00012,,"Diamond Bar Blvd and Temple Ave N",,  34.040352,-117.798222,,,0,
00014,,"Diamond Bar Blvd and Mountain Laurel Way N",,  33.992106,-117.816991,,,0,
00015,,"Green St and Raymond Ave E",,  34.144446,-118.148989,,,0,
00016,,"Brea Canyon Rd and Lycoming St N",,  34.003135,-117.846353,,,0,
00017,,"Brea Canyon Rd and Lycoming St S",,  34.002975,-117.846462,,,0,
00020,,"Diamond Bar Blvd and Temple Ave S",,  34.040456,-117.798403,,,0,
00021,,"Seventh Ave and Gale Ave N",,  34.020222,-117.987604,,,0,
00022,,"Mission Blvd and Reservoir St W",,  34.055575,-117.733042,,,0,
00023,,"Amar Rd and Lark Ellen Ave E",,  34.035002,-117.919315,,,0,
00024,,"Amar Rd and Lark Ellen Ave W",,  34.035343,-117.919966,,,0,
00025,,"Amar Rd and Lemon Ave E",,  34.035330,-117.874485,,,0,
00026,,"Amar Rd and Lemon Ave W",,  34.035515,-117.874693,,,0,
00027,,"Amar Rd and Nogales St W",,  34.027635,-117.896090,,,0,
00028,,"Workman Mill Rd and Crossroads Pkwy N",,  34.028684,-118.026118,,,0,
00029,,"Crossroads Pkwy N and Workman Mill Rd S",,  34.032046,-118.020578,,,0,
00030,,"Arrow Hwy and Strawberry Lane W",,  34.106807,-117.841237,,,0,
00031,,"Arrow Hwy and Sunflower Ave E",,  34.106581,-117.846499,,,0,
00032,,"Arrow Hwy and Sunflower Ave W",,  34.106795,-117.846143,,,0,
00033,,"Badillo St and Reeder Ave S",,  34.089615,-117.853361,,,0,
00034,,"Sunflower Ave and Cypress St N",,  34.096082,-117.846318,,,0,
00035,,"Rivergrade Rd and Arrow Hwy N",,  34.109643,-117.967004,,,0,
00036,,"Amar Rd and Sunkist Ave E",,  34.050585,-117.970413,,,0,
00037,,"Lone Hill Ave and Covina Blvd N",,  34.099854,-117.828834,,,0,
00038,,"Arrow Hwy and Monte Vista Ave W",,  34.092495,-117.698751,,,0,
00039,,"Arrow Hwy and Mountain Ave E",,  34.090286,-117.728125,,,0,
00040,,"Arrow Hwy and Orange Grove Ave E",,  34.089937,-117.742730,,,0,
00041,,"Arrow Hwy and Rennell Ave W",,  34.106774,-117.833415,,,0,
00042,,"Arrow Hwy and Royal Palm E",,  34.106591,-117.841209,,,0,
00043,,"Crossroads Pkwy N and Crossroads Pkwy S",,  34.030455,-118.012954,,,0,
00044,,"Crossroads Pkwy N and Crossroads Pkwy N",,  34.030432,-118.013297,,,0,
00045,,"Puente Ave and Temple Ave S",,  34.050609,-117.982073,,,0,
00047,,"Figueroa St and 11 St E (Staples Center)",,  34.043861,-118.264919,,,0,
00066,,"Mission Blvd and Westmont Ave E",,  34.052913,-117.785014,,,0,
00067,,"Mission Blvd and Mission West Business Park W",,  34.053067,-117.785748,,,0,
00129,,"Nogales St and Daisetta St W",,  33.990317,-117.888988,,,0,
00175,,"Garey Ave and Drake St N",,  34.105572,-117.748484,,,0,
00176,,"Garey Ave and Drake St S",,  34.105370,-117.748737,,,0,
00177,,"Azusa Intermodal Transit Center",,  34.135445,-117.906928,,,0,place_AzGL
00178,,"Citrus Ave and Foothill Blvd N",,  34.135743,-117.889865,,,0,place_CiGL
00405,,"Myrtle Ave and Pomona Ave",,  34.134443,-118.000942,,,0,
00493,,"10 Freeway and Azusa Ave E",,  34.072036,-117.908195,,,0,
00494,,"10 Freeway and Azusa Ave W",,  34.072357,-117.906403,,,0,
00496,,"10 Freeway and Puente Ave E",,  34.070052,-117.960427,,,0,
00497,,"10 Freeway and Puente Ave W",,  34.070764,-117.959830,,,0,
00501,,"1st St and Broadway W",,  34.053620,-118.245392,,,0,
00505,,"1st St and Harvard Ave E",,  34.094499,-117.716863,,,0,
00506,,"1st St and Harvard Ave W",,  34.094739,-117.717103,,,0,
00507,,"1st St and Hill E",,  34.054326,-118.246715,,,0,
00509,,"1st St and Mills Ave E",,  34.094938,-117.707411,,,0,
00511,,"1st St and Mills Ave W",,  34.095043,-117.707299,,,0,
00517,,"Second Ave and College St N",,  34.087687,-117.887817,,,0,
00518,,"Second Ave and College St S",,  34.087179,-117.888032,,,0,
00519,,"Second Ave and Puente St N",,  34.083128,-117.887760,,,0,
00520,,"Second Ave and Puente St S",,  34.082771,-117.887982,,,0,
00521,,"Second Ave and Rowland Ave S",,  34.079762,-117.887966,,,0,
00522,,"Second Ave and San Bernardino Rd S",,  34.089992,-117.888058,,,0,
00528,,"Seventh Ave and Bonelli St S",,  34.025543,-117.984207,,,0,
00530,,"Seventh Ave and Clark Ave N",,  34.023053,-117.985891,,,0,
00531,,"Seventh Ave and Clark Ave S",,  34.023529,-117.985881,,,0,
00534,,"Seventh Ave and Don Julian Rd N",,  34.029257,-117.980236,,,0,
00535,,"Seventh Ave and Don Julian Rd S",,  34.029296,-117.980444,,,0,
00540,,"Seventh Ave and Proctor Ave N",,  34.031779,-117.977688,,,0,
00541,,"Seventh Ave and Proctor Ave S",,  34.032211,-117.977575,,,0,
00544,,"Seventh Ave and Salt Lake Ave N",,  34.024839,-117.984561,,,0,
00546,,"7th St and Valley Blvd N",,  34.034378,-117.974928,,,0,
00547,,"Seventh Ave and Valley Blvd S",,  34.034565,-117.975066,,,0,
00549,,"Aliso St and Los Angeles St E",,  34.054884,-118.239690,,,0,
00553,,"Amar Rd and Amber Valley Dr E",,  34.030068,-117.888884,,,0,
00554,,"Amar Rd and Amber Valley Dr W",,  34.029862,-117.889478,,,0,
00555,,"Amar Rd and Azusa Ave E",,  34.030536,-117.913323,,,0,
00556,,"Amar Rd and Azusa Ave W",,  34.031826,-117.915183,,,0,
